Country,Year,Risk Points for Foreign Debt as a % of GDP,Risk Points for Exchange Rate Stability,Risk Points for Debt Service as a % of XGS,Risk Points for Current Account as % of XGS,Risk Points for International Liquidity,Aggregate Financial Risk
Albania,1984,5.33,9,NA,NA,NA,14.33
Albania,1985,6,9,NA,NA,NA,15
Albania,1986,6,9,NA,NA,NA,15
Albania,1987,6,8.42,NA,NA,NA,14.42
Albania,1988,6.25,8,NA,NA,NA,14.25
Albania,1989,6.54,8,NA,NA,NA,14.54
Albania,1990,6.96,8,NA,NA,NA,14.96
Albania,1991,6.75,6.5,NA,NA,NA,13.25
Albania,1992,4.58,5,NA,NA,NA,9.58
Albania,1993,4,5,NA,NA,NA,9
Albania,1994,4.21,5,NA,NA,NA,9.21
Albania,1995,4.5,5.08,NA,NA,NA,9.58
Albania,1996,4.5,6,8.72,7.61,0.75,27.58
Albania,1997,5.29,4.83,5.92,5.33,0,21.37
Albania,1998,8.5,9.04,4,5.88,0.5,27.92
Albania,1999,8.5,9.79,4.46,9.5,1.92,34.17
Albania,2000,7.5,9.46,4.5,9.5,1.5,32.46
Albania,2001,7.17,9.88,4.5,9.5,1.5,32.55
Albania,2002,7.5,10,5.5,9,1.5,33.5
Albania,2003,5.08,9.54,6.5,9.83,2.75,33.7
Albania,2004,4.5,9.29,6.5,10.13,3.13,33.55
Albania,2005,4.5,9.83,7.5,9.83,3.5,35.16
Albania,2006,4.5,9.88,8,9.5,3.5,35.38
Albania,2007,7.71,9.88,9.38,9.96,2.58,39.51
Albania,2008,8.46,9.29,9.5,10.92,2.5,40.67
Albania,2009,6.92,7.96,9.5,10.08,3.08,37.54
Albania,2010,6.88,8.5,9.5,9.71,3.21,37.8
Albania,2011,6.5,9.92,8.83,9.5,3,37.75
Albania,2012,6,9.33,9.33,10.33,2.58,37.57
Albania,2013,5.08,10,7.88,10.04,3.21,36.21
Algeria,1984,5.55,5,6.13,12.04,2.42,31.14
Algeria,1985,6,5,6.38,12,2.71,32.09
Algeria,1986,4.83,5,6.17,11.88,3.33,31.21
Algeria,1987,4.29,5,4.96,10.5,3.13,27.88
Algeria,1988,4.58,4.75,5.58,11,3.29,29.2
Algeria,1989,5.5,4,3.21,11.92,2.5,27.13
Algeria,1990,6.25,4,3.21,11.54,1.42,26.42
Algeria,1991,7.13,4.33,6,13.33,1.08,31.87
Algeria,1992,5.96,6,3.75,12.83,1,29.54
Algeria,1993,4.5,6,3,13.5,0.33,27.33
Algeria,1994,4.46,6,0.71,12,2.04,25.21
Algeria,1995,5.25,6,3.42,11.42,1.79,27.88
Algeria,1996,5.71,6,4.96,11.29,0.54,28.5
Algeria,1997,5.42,7.21,6,11.71,1.38,31.72
Algeria,1998,3.83,10,6.17,13.5,3.17,36.67
Algeria,1999,4.21,8.88,5.5,10.58,2.46,31.63
Algeria,2000,4.71,8.42,4.63,13.46,2,33.22
Algeria,2001,5.38,9.71,6,13.92,4.25,39.26
Algeria,2002,5.5,9.75,6,12.96,4.5,38.71
Algeria,2003,6.08,9.96,7.08,14.5,4.96,42.58
Algeria,2004,6.79,9.79,8.33,15,5,44.91
Algeria,2005,7.92,10,8.83,14.88,5,46.63
Algeria,2006,8.46,10,9,15,5,47.46
Algeria,2007,9.75,10,9,15,5,48.75
Algeria,2008,10,9.92,9.08,15,5,49
Algeria,2009,10,8.54,10,13.75,5,47.29
Algeria,2010,10,10,10,12.58,5,47.58
Algeria,2011,10,10,10,13.75,5,48.75
Algeria,2012,10,9.54,10,14.08,5,48.62
Algeria,2013,10,9.88,10,13.67,5,48.55
Angola,1984,4,4,NA,NA,NA,8
Angola,1985,4,4,NA,NA,NA,8
Angola,1986,2.83,4,NA,NA,NA,6.83
Angola,1987,2.75,4,NA,NA,NA,6.75
Angola,1988,3,3.92,NA,NA,NA,6.92
Angola,1989,3.08,4,NA,NA,NA,7.08
Angola,1990,3,4,NA,NA,NA,7
Angola,1991,3,4,NA,NA,NA,7
Angola,1992,3.46,3,NA,NA,NA,6.46
Angola,1993,2.79,3,NA,NA,NA,5.79
Angola,1994,2,3,NA,NA,NA,5
Angola,1995,2.38,3,NA,NA,NA,5.38
Angola,1996,2.71,3.42,8.61,10.33,0,25.07
Angola,1997,2.17,5.08,7.79,9.13,0,24.17
Angola,1998,0.63,6.92,7.88,10.88,0.25,26.56
Angola,1999,1,5,7.5,10.04,0.08,23.62
Angola,2000,1.13,4.83,8,10.17,0,24.13
Angola,2001,1,0.96,9,12.33,1.25,24.54
Angola,2002,1,0.75,9,10.13,1.5,22.38
Angola,2003,2,2.08,8.5,11.5,1.13,25.21
Angola,2004,3.63,8.79,7,11.5,1.5,32.42
Angola,2005,4,9.08,8.75,12.13,1.63,35.59
Angola,2006,6.5,10,9.38,12.75,2.5,41.13
Angola,2007,7.33,10,10,12.5,2.13,41.96
Angola,2008,8.67,10,10,13.58,1.38,43.63
Angola,2009,9,9.46,10,13.29,2.75,44.5
Angola,2010,8.42,7.75,9.71,13,4.21,43.09
Angola,2011,8,10,9,12.5,3.5,43
Angola,2012,8.29,10,9,13.58,4.5,45.37
Angola,2013,8.46,10,9,13.46,4.75,45.67
Argentina,1984,1.8,1.75,0,10.33,0.42,14.3
Argentina,1985,1.54,1,0.79,10.5,0,13.83
Argentina,1986,2,1,1,10.21,0,14.21
Argentina,1987,2.92,1.92,1.63,9,0,15.47
Argentina,1988,3.33,3,4,9.46,0,19.79
Argentina,1989,3.54,2.17,3.88,8.79,0,18.38
Argentina,1990,2.42,5.75,6.42,11.29,0,25.88
Argentina,1991,4.79,6.17,5.33,10.08,0,26.37
Argentina,1992,6.96,7,6.33,9.71,0,30
Argentina,1993,6.38,6.67,4.67,7.42,0.33,25.47
Argentina,1994,6,7,6.25,7.38,2.75,29.38
Argentina,1995,5.29,7,6.25,8.29,1.38,28.21
Argentina,1996,5.17,7,6,11,1.21,30.38
Argentina,1997,5.17,8,6,11.17,2.92,33.26
Argentina,1998,7.21,10,4.08,8.75,3.5,33.54
Argentina,1999,7.92,10,3.33,8.71,3.5,33.46
Argentina,2000,5.08,10,1.63,8.42,3.5,28.63
Argentina,2001,5,10,1,9.67,3.13,28.8
Argentina,2002,3.5,0.83,1,12.38,0,17.71
Argentina,2003,4,7.42,1,11.5,0,23.92
Argentina,2004,2.13,9.92,3.88,13.5,0,29.43
Argentina,2005,2.5,10,4.75,12.63,2.25,32.13
Argentina,2006,5,9.83,6.75,12.75,3.25,37.58
Argentina,2007,5,10,7,13,2.71,37.71
Argentina,2008,5,9.92,7,13,2.42,37.34
